osteo_type,lesion_type,length,height,LxH,area,perimeter,percentage_LxH,percentage_area,type1_l,type1_h,l_d_h,,
esc,1,1.439,2.091,3.008949,2.495,6.164,67.69608913,68.3374418,1.439,2.091,0.68818747,,
cef,1,1.111,0.689,0.765479,0.706,3.673,11.12645068,12.68643306,1.111,0.689,1.612481858,,
cef,1,0.426,0.671,0.285846,0.206,1.877,2.407994536,2.24670084,0.426,0.671,0.634873323,,
pel,1,2.556,1.892,4.835952,3.357,7.258,30.59605967,24.50901657,2.556,1.892,1.350951374,,
smp,1,1.055,1.721,1.815655,1.669,5.079,9.809184827,9.810721843,1.055,1.721,0.613015689,,
sma,1,0.589,0.723,0.425847,0.445,2.377,3.179146325,3.590736706,0.589,0.723,0.814661134,,
esc,1,0.596,0.789,0.470244,0.657,2.967,3.070607438,4.752947985,0.596,0.789,0.755386565,,
pel,1,0.333,0.327,0.108891,0.089,1.058,4.162659123,3.67768595,0.333,0.327,1.018348624,,
sma,2,3.696,1.601,5.917296,4.145,8.289,43.42447173,33.27980731,,,,,
pel,2,0.29,1.143,0.33147,0.278,3.142,2.644323106,2.469574487,,,,,
pel,2,3.201,1.391,4.452591,2.61,8.474,41.27586108,25.38910506,,,,,
pel,2,2.607,1.722,4.489254,2.944,6.889,21.93235758,18.35754817,,,,,
esc,2,4.225,1.35,5.70375,4.739,10.61,35.97839536,32.30842651,,,,,
esc,2,3.022,1.503,4.542066,3.495,7.433,32.79596247,27.89973657,,,,,
mov,2,1.196,0.714,0.853944,0.58,3.113,3.163270817,2.167657062,,,,,
pel,2,1.613,1.119,1.804947,1.594,5.525,12.09039244,12.47358948,,,,,
sma,3,0.502,0.749,0.375998,0.394,2.536,2.767457006,3.181267662,,,,,
cau,3,1.253,1.949,2.442097,2.561,6.113,22.70187505,26.65209699,,,,,
esc,3,1.23,1.931,2.37513,2.265,6.111,52.47282609,61.56564284,,,,,
sma,3,0.381,0.479,0.182499,0.14,1.802,1.478658586,1.206376562,,,,,
pel,3,1.864,1.457,2.715848,2.304,5.667,21.59805956,21.74200245,,,,,
pel,3,3.379,1.369,4.625851,3.6,3.309,36.61111507,30.97573567,,,,,
